feature,importance
Morgan_1078,5.331524608761646e-05
Morgan_1339,5.324691275470319e-05
Morgan_1401,5.310317828880319e-05
Morgan_354,5.309958444943072e-05
Morgan_1741,5.308398111469637e-05
Morgan_42,5.2873682234374246e-05
Morgan_1537,5.2639848630446726e-05
Morgan_819,5.260668434002447e-05
Morgan_1146,5.2589665059155636e-05
Morgan_884,5.247535632293569e-05
Morgan_1033,5.245658313371031e-05
Morgan_20,5.2421180974150316e-05
Morgan_235,5.228019405393347e-05
Morgan_1838,5.221940580458177e-05
Morgan_1723,5.2166859828499377e-05
Morgan_1134,5.215584947088659e-05
Morgan_827,5.2032513362587065e-05
Morgan_1586,5.1963673980550105e-05
Morgan_1468,5.179802758365558e-05
Morgan_1245,5.169647625315389e-05
Morgan_1379,5.165551427358564e-05
Morgan_419,5.149806911973539e-05
Morgan_914,5.115944897084705e-05
Morgan_721,5.1060534413186036e-05
Morgan_1919,5.085002604959309e-05
Morgan_2007,5.083211285761356e-05
Morgan_885,5.0615406522875e-05
Morgan_978,5.0496179213529886e-05
Morgan_940,5.030750020793881e-05
Morgan_1064,5.000917853091513e-05
Morgan_473,4.9846590881881886e-05
Morgan_2026,4.964638834265561e-05
Morgan_1347,4.950877293295836e-05
Morgan_57,4.941757566502997e-05
Morgan_187,4.934290157257607e-05
Morgan_1017,4.9043427810755704e-05
Morgan_1299,4.888549648160779e-05
Morgan_557,4.8844127283755315e-05
Morgan_814,4.879089568374398e-05
Morgan_1420,4.8586837638534996e-05
Morgan_381,4.840085047405223e-05
Morgan_215,4.827622657412379e-05
Morgan_503,4.821588870865078e-05
Morgan_943,4.785080394380501e-05
Morgan_1982,4.778673699824187e-05
Morgan_909,4.776349144581409e-05
Morgan_1381,4.7719469135902795e-05
Morgan_75,4.7703921702371734e-05
Morgan_2000,4.7681470139373795e-05
Morgan_1994,4.749148740458022e-05
Morgan_1799,4.734029846264705e-05
Morgan_1377,4.701872741107972e-05
Morgan_1882,4.699416578843289e-05
Morgan_213,4.698368873683656e-05
Morgan_1880,4.6968990323426103e-05
Morgan_448,4.694349671542326e-05
Morgan_412,4.6846519945384983e-05
Morgan_1995,4.675781241041657e-05
Morgan_60,4.663890690535549e-05
Morgan_348,4.643373272310772e-05
Morgan_619,4.639445388803169e-05
Morgan_1142,4.6371711153983805e-05
Morgan_1940,4.619833314556567e-05
Morgan_1808,4.619609996648314e-05
Morgan_1086,4.604053386225224e-05
Morgan_1469,4.602684502101167e-05
Morgan_2010,4.587092754473818e-05
Morgan_741,4.560254204029029e-05
Morgan_261,4.5582519848541904e-05
Morgan_66,4.5545056556887224e-05
Morgan_1276,4.5366056846782705e-05
Morgan_1934,4.536226294395703e-05
Morgan_107,4.531650180511008e-05
Morgan_728,4.511227364300173e-05
Morgan_1065,4.501713596517403e-05
Morgan_628,4.49871881312394e-05
Morgan_1663,4.466709063262407e-05
Morgan_851,4.463597779862478e-05
Morgan_1126,4.4548955922205183e-05
Morgan_81,4.452503447663088e-05
Morgan_1764,4.452498343657238e-05
Morgan_1265,4.449644765021462e-05
Morgan_1003,4.432192701670845e-05
Morgan_1036,4.4287256535410656e-05
Morgan_1015,4.4252330281458225e-05
Morgan_1129,4.416910466949245e-05
Morgan_1089,4.414114157967672e-05
Morgan_40,4.405789564623863e-05
Morgan_1504,4.403142239398956e-05
Morgan_1657,4.4006094403205907e-05
Morgan_891,4.3911680905559184e-05
Morgan_571,4.389694293395599e-05
Morgan_1752,4.369098804700852e-05
Morgan_1423,4.368939363448245e-05
Morgan_1527,4.3399357342584345e-05
Morgan_172,4.3374398225025494e-05
Morgan_1510,4.326317558012105e-05
Morgan_598,4.31560033660641e-05
Morgan_1821,4.309902280505238e-05
Morgan_878,4.289685715018775e-05
Morgan_1831,4.287125513681427e-05
Morgan_944,4.2850257315408155e-05
Morgan_798,4.2837861032723775e-05
Morgan_1823,4.2729143805184805e-05
Morgan_1620,4.2632746996823665e-05
Morgan_500,4.261461080579387e-05
